
Step(*): 0, t: 0, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)

Step: 1, t: 0.00146484, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 2, t: 0.00292969, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 3, t: 0.00439453, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 4, t: 0.00585938, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 5, t: 0.00732422, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 6, t: 0.00878906, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 7, t: 0.0102539, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 8, t: 0.0117188, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 9, t: 0.0131836, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 10, t: 0.0146484, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 11, t: 0.0161133, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 12, t: 0.0175781, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 13, t: 0.019043, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 14, t: 0.0205078, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 15, t: 0.0219727, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 16, t: 0.0234375, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 17, t: 0.0249023, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 18, t: 0.0263672, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 19, t: 0.027832, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 20, t: 0.0292969, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 21, t: 0.0307617, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 22, t: 0.0322266, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 23, t: 0.0336914, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 24, t: 0.0351562, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 25, t: 0.0366211, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 26, t: 0.0380859, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 27, t: 0.0395508, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 28, t: 0.0410156, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 29, t: 0.0424805, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 30, t: 0.0439453, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 31, t: 0.0454102, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 32, t: 0.046875, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 33, t: 0.0483398, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 34, t: 0.0498047, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 35, t: 0.0512695, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 36, t: 0.0527344, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 37, t: 0.0541992, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 38, t: 0.0556641, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 39, t: 0.0571289, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 40, t: 0.0585938, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 41, t: 0.0600586, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 42, t: 0.0615234, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 43, t: 0.0629883, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 44, t: 0.0644531, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 45, t: 0.065918, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 46, t: 0.0673828, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 47, t: 0.0688477, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 48, t: 0.0703125, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 49, t: 0.0717773, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 50, t: 0.0732422, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 51, t: 0.074707, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 52, t: 0.0761719, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 53, t: 0.0776367, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 54, t: 0.0791016, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 55, t: 0.0805664, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 56, t: 0.0820312, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 57, t: 0.0834961, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 58, t: 0.0849609, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 59, t: 0.0864258, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 60, t: 0.0878906, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 61, t: 0.0893555, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 62, t: 0.0908203, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 63, t: 0.0922852, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 64, t: 0.09375, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 65, t: 0.0952148, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 66, t: 0.0966797, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 67, t: 0.0981445, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 68, t: 0.0996094, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 69, t: 0.101074, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 70, t: 0.102539, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 71, t: 0.104004, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 72, t: 0.105469, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 73, t: 0.106934, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 74, t: 0.108398, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 75, t: 0.109863, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 76, t: 0.111328, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 77, t: 0.112793, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 78, t: 0.114258, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 79, t: 0.115723, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 80, t: 0.117188, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

