
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 1, Time: 0.00146484, Systemstep: 0.00146484, Nsync-grv:      15932, Nsync-hyd:          0

Sync-Point 2, Time: 0.00292969, Systemstep: 0.00146484, Nsync-grv:      32025, Nsync-hyd:          0

Sync-Point 3, Time: 0.00439453, Systemstep: 0.00146484, Nsync-grv:      15918, Nsync-hyd:          0

Sync-Point 4, Time: 0.00585938, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 5, Time: 0.00732422, Systemstep: 0.00146484, Nsync-grv:      15915, Nsync-hyd:          0

Sync-Point 6, Time: 0.00878906, Systemstep: 0.00146484, Nsync-grv:      32027, Nsync-hyd:          0

Sync-Point 7, Time: 0.0102539, Systemstep: 0.00146484, Nsync-grv:      15912, Nsync-hyd:          0

Sync-Point 8, Time: 0.0117188, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 9, Time: 0.0131836, Systemstep: 0.00146484, Nsync-grv:      15859, Nsync-hyd:          0

Sync-Point 10, Time: 0.0146484, Systemstep: 0.00146484, Nsync-grv:      32070, Nsync-hyd:          0

Sync-Point 11, Time: 0.0161133, Systemstep: 0.00146484, Nsync-grv:      15750, Nsync-hyd:          0

Sync-Point 12, Time: 0.0175781, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 13, Time: 0.019043, Systemstep: 0.00146484, Nsync-grv:      15651, Nsync-hyd:          0

Sync-Point 14, Time: 0.0205078, Systemstep: 0.00146484, Nsync-grv:      32085, Nsync-hyd:          0

Sync-Point 15, Time: 0.0219727, Systemstep: 0.00146484, Nsync-grv:      15583, Nsync-hyd:          0

Sync-Point 16, Time: 0.0234375, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 17, Time: 0.0249023, Systemstep: 0.00146484, Nsync-grv:      15578, Nsync-hyd:          0

Sync-Point 18, Time: 0.0263672, Systemstep: 0.00146484, Nsync-grv:      32084, Nsync-hyd:          0

Sync-Point 19, Time: 0.027832, Systemstep: 0.00146484, Nsync-grv:      15549, Nsync-hyd:          0

Sync-Point 20, Time: 0.0292969, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 21, Time: 0.0307617, Systemstep: 0.00146484, Nsync-grv:      15524, Nsync-hyd:          0

Sync-Point 22, Time: 0.0322266, Systemstep: 0.00146484, Nsync-grv:      32059, Nsync-hyd:          0

Sync-Point 23, Time: 0.0336914, Systemstep: 0.00146484, Nsync-grv:      15523, Nsync-hyd:          0

Sync-Point 24, Time: 0.0351562, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 25, Time: 0.0366211, Systemstep: 0.00146484, Nsync-grv:      15502, Nsync-hyd:          0

Sync-Point 26, Time: 0.0380859, Systemstep: 0.00146484, Nsync-grv:      32021, Nsync-hyd:          0

Sync-Point 27, Time: 0.0395508, Systemstep: 0.00146484, Nsync-grv:      15477, Nsync-hyd:          0

Sync-Point 28, Time: 0.0410156, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 29, Time: 0.0424805, Systemstep: 0.00146484, Nsync-grv:      15447, Nsync-hyd:          0

Sync-Point 30, Time: 0.0439453, Systemstep: 0.00146484, Nsync-grv:      32021, Nsync-hyd:          0

Sync-Point 31, Time: 0.0454102, Systemstep: 0.00146484, Nsync-grv:      15427, Nsync-hyd:          0

Sync-Point 32, Time: 0.046875, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 33, Time: 0.0483398, Systemstep: 0.00146484, Nsync-grv:      15382, Nsync-hyd:          0

Sync-Point 34, Time: 0.0498047, Systemstep: 0.00146484, Nsync-grv:      32033, Nsync-hyd:          0

Sync-Point 35, Time: 0.0512695, Systemstep: 0.00146484, Nsync-grv:      15353, Nsync-hyd:          0

Sync-Point 36, Time: 0.0527344, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 37, Time: 0.0541992, Systemstep: 0.00146484, Nsync-grv:      15350, Nsync-hyd:          0

Sync-Point 38, Time: 0.0556641, Systemstep: 0.00146484, Nsync-grv:      32029, Nsync-hyd:          0

Sync-Point 39, Time: 0.0571289, Systemstep: 0.00146484, Nsync-grv:      15375, Nsync-hyd:          0

Sync-Point 40, Time: 0.0585938, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 41, Time: 0.0600586, Systemstep: 0.00146484, Nsync-grv:      15363, Nsync-hyd:          0

Sync-Point 42, Time: 0.0615234, Systemstep: 0.00146484, Nsync-grv:      32037, Nsync-hyd:          0

Sync-Point 43, Time: 0.0629883, Systemstep: 0.00146484, Nsync-grv:      15364, Nsync-hyd:          0

Sync-Point 44, Time: 0.0644531, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

